"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2018",6.3,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2019",6.3,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2020",6.4,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2021",6.3,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2018",6.6,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2019",6.5,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2020",6.7,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2021",6.3,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2018",5.8,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2019",5.7,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2020",5.8,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2021",5.9,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2018",6.4,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2019",6.2,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2020",6.3,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2021",6.4,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2018",5.5,"D"
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2019",5.5,"D"
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2020",5.7,"D"
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2021",5.6,"D"
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2018",7.5,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2019",7.4,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2020",7.4,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2021",7.4,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2018",5.4,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2019",5.4,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2020",5.3,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2021",5.9,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2018",5.9,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2019",6,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2020",5.7,"B"
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2021",6.4,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2018",7,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2019",7,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2020",7.5,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2021",7.4,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2018",7.6,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2019",7.4,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2020",7.5,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2021",7.3,"P"
"NLD","HOSPITALSTAY","ACUTE","DAY","A","2018",5.1,"D"
