"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","MEDICALDOC","TOT","1000HAB","A","2018",5.22,
"AUT","MEDICALDOC","TOT","1000HAB","A","2019",5.29,
"AUT","MEDICALDOC","TOT","1000HAB","A","2020",5.32,
"AUT","MEDICALDOC","TOT","1000HAB","A","2021",5.41,
"AUT","MEDICALDOC","TOT","1000HAB","A","2022",5.48,
"BEL","MEDICALDOC","TOT","1000HAB","A","2018",3.13,
"BEL","MEDICALDOC","TOT","1000HAB","A","2019",3.16,
"BEL","MEDICALDOC","TOT","1000HAB","A","2020",3.21,
"BEL","MEDICALDOC","TOT","1000HAB","A","2021",3.25,
"CZE","MEDICALDOC","TOT","1000HAB","A","2018",4.04,
"CZE","MEDICALDOC","TOT","1000HAB","A","2019",4.07,"E"
"CZE","MEDICALDOC","TOT","1000HAB","A","2020",4.1,"E"
"CZE","MEDICALDOC","TOT","1000HAB","A","2021",4.26,"E"
"DNK","MEDICALDOC","TOT","1000HAB","A","2018",4.2,
"DNK","MEDICALDOC","TOT","1000HAB","A","2019",4.25,
"DNK","MEDICALDOC","TOT","1000HAB","A","2020",4.38,
"FIN","MEDICALDOC","TOT","1000HAB","A","2018",3.49,
"FIN","MEDICALDOC","TOT","1000HAB","A","2019",3.57,
"FIN","MEDICALDOC","TOT","1000HAB","A","2020",3.61,
"FRA","MEDICALDOC","TOT","1000HAB","A","2018",3.33,"D"
"FRA","MEDICALDOC","TOT","1000HAB","A","2019",3.36,"D"
"FRA","MEDICALDOC","TOT","1000HAB","A","2020",3.36,"D"
"FRA","MEDICALDOC","TOT","1000HAB","A","2021",3.36,"D"
"DEU","MEDICALDOC","TOT","1000HAB","A","2018",4.31,
"DEU","MEDICALDOC","TOT","1000HAB","A","2019",4.4,
"DEU","MEDICALDOC","TOT","1000HAB","A","2020",4.47,
"DEU","MEDICALDOC","TOT","1000HAB","A","2021",4.53,
"HUN","MEDICALDOC","TOT","1000HAB","A","2018",3.38,
"HUN","MEDICALDOC","TOT","1000HAB","A","2019",3.49,
"HUN","MEDICALDOC","TOT","1000HAB","A","2020",3.14,"B"
"HUN","MEDICALDOC","TOT","1000HAB","A","2021",3.3,
"IRL","MEDICALDOC","TOT","1000HAB","A","2018",3.28,
"IRL","MEDICALDOC","TOT","1000HAB","A","2019",3.32,
"IRL","MEDICALDOC","TOT","1000HAB","A","2020",3.46,
"IRL","MEDICALDOC","TOT","1000HAB","A","2021",4.02,
"ITA","MEDICALDOC","TOT","1000HAB","A","2018",3.98,
"ITA","MEDICALDOC","TOT","1000HAB","A","2019",4.05,
"ITA","MEDICALDOC","TOT","1000HAB","A","2020",4,
"ITA","MEDICALDOC","TOT","1000HAB","A","2021",4.1,
"ITA","MEDICALDOC","TOT","1000HAB","A","2022",4.25,"P"
"POL","MEDICALDOC","TOT","1000HAB","A","2018",2.36,
"POL","MEDICALDOC","TOT","1000HAB","A","2019",3.3,"B"
"POL","MEDICALDOC","TOT","1000HAB","A","2020",3.33,
"POL","MEDICALDOC","TOT","1000HAB","A","2021",3.44,
"SVK","MEDICALDOC","TOT","1000HAB","A","2018",3.52,
"SVK","MEDICALDOC","TOT","1000HAB","A","2019",3.57,
"SVK","MEDICALDOC","TOT","1000HAB","A","2020",3.67,
"SVK","MEDICALDOC","TOT","1000HAB","A","2021",3.68,
"ESP","MEDICALDOC","TOT","1000HAB","A","2018",4.02,"E"
"ESP","MEDICALDOC","TOT","1000HAB","A","2019",4.4,"E"
"ESP","MEDICALDOC","TOT","1000HAB","A","2020",4.58,"E"
"ESP","MEDICALDOC","TOT","1000HAB","A","2021",4.49,"E"
"SWE","MEDICALDOC","TOT","1000HAB","A","2018",4.32,
"SWE","MEDICALDOC","TOT","1000HAB","A","2019",4.29,
"SWE","MEDICALDOC","TOT","1000HAB","A","2020",4.32,
"GBR","MEDICALDOC","TOT","1000HAB","A","2018",2.84,
"GBR","MEDICALDOC","TOT","1000HAB","A","2019",2.95,
"GBR","MEDICALDOC","TOT","1000HAB","A","2020",3.03,"E"
"GBR","MEDICALDOC","TOT","1000HAB","A","2021",3.18,"E"
"GBR","MEDICALDOC","TOT","1000HAB","A","2022",3.18,"E"
"EST","MEDICALDOC","TOT","1000HAB","A","2018",3.48,
"EST","MEDICALDOC","TOT","1000HAB","A","2019",3.47,
"EST","MEDICALDOC","TOT","1000HAB","A","2020",3.48,
"EST","MEDICALDOC","TOT","1000HAB","A","2021",3.43,
"SVN","MEDICALDOC","TOT","1000HAB","A","2018",3.18,
"SVN","MEDICALDOC","TOT","1000HAB","A","2019",3.26,
"SVN","MEDICALDOC","TOT","1000HAB","A","2020",3.3,
"SVN","MEDICALDOC","TOT","1000HAB","A","2021",3.34,
"LVA","MEDICALDOC","TOT","1000HAB","A","2018",3.3,
"LVA","MEDICALDOC","TOT","1000HAB","A","2019",3.27,
"LVA","MEDICALDOC","TOT","1000HAB","A","2020",3.34,
"LVA","MEDICALDOC","TOT","1000HAB","A","2021",3.36,
"LTU","MEDICALDOC","TOT","1000HAB","A","2018",4.6,
"LTU","MEDICALDOC","TOT","1000HAB","A","2019",4.57,
"LTU","MEDICALDOC","TOT","1000HAB","A","2020",4.48,
"LTU","MEDICALDOC","TOT","1000HAB","A","2021",4.47,
